p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	0.814686405449382	1	0.904	0	0	HMGA1
0	0.673354083958392	1	0.994	0	0	RPL13A
0	0.661528385857248	1	0.986	0	0	FTL
0	0.654858647116647	1	0.991	0	0	RPL27A
0	0.651929692546061	0.998	0.916	0	0	TIMM13
0	0.650612763773119	0.98	0.657	0	0	FOXD3-AS1
0	0.64869759213656	0.993	0.893	0	0	NME4
0	0.624548498889718	0.999	0.944	0	0	MDK
0	0.613534496226538	0.991	0.64	0	0	ATP5G1
0	0.611365913005102	0.997	0.882	0	0	TERF1
0	0.601618775184527	1	0.992	0	0	TMSB4X
0	0.597507751900855	0.952	0.538	0	0	USMG5
0	0.594930364138957	0.989	0.641	0	0	GPX1
0	0.594793292366409	1	0.998	0	0	RPS2
0	0.585028292195056	0.823	0.365	0	0	UTF1
0	0.582583119989599	0.932	0.515	0	0	SCGB3A2
0	0.564142240306401	0.805	0.38	0	0	MIR302B
0	0.556684615742292	1	0.985	0	0	YBX1
0	0.544330478676363	0.805	0.376	0	0	SEMA6A
0	0.540474339019162	1	0.987	0	0	RPL23
0	0.530221713573661	0.974	0.86	0	0	CHCHD10
0	0.528508135342316	1	0.99	0	0	RPSA
0	0.522073050710575	0.848	0.603	0	0	DHCR24
0	0.521912952178434	1	0.991	0	0	RPS16
0	0.511503068383954	1	0.996	0	0	RPS19
0	0.505988804183977	0.999	0.98	0	0	TMA7
0	0.504261929362882	0.995	0.96	0	0	LSM4
0	0.497642365178795	1	0.993	0	0	RPL18A
0	0.49054474507578	1	0.994	0	0	RPS12
0	0.489791866666513	1	0.992	0	0	RPS17
0	0.489484469952172	1	0.992	0	0	RPL19
0	0.489462619418853	0.999	0.982	0	0	HSPE1
0	0.480955760154718	1	0.989	0	0	RPS20
0	0.468185150945053	0.994	0.947	0	0	SELENOW
0	0.46727586836678	0.994	0.941	0	0	GPX4
0	0.463437036496892	1	0.997	0	0	RPS18
0	0.458029667341258	1	0.986	0	0	OAZ1
0	0.452876851648714	1	0.989	0	0	RPS5
0	0.451069322631937	0.992	0.941	0	0	HMGN3
0	0.449788998220971	1	0.995	0	0	RPL15
0	0.446602625595213	1	0.993	0	0	RPS6
0	0.44482804926356	1	0.993	0	0	RPL11
0	0.441111823361157	0.999	0.986	0	0	SLC25A6
0	0.435737260795986	1	0.991	0	0	RPL7
0	0.433054758895556	0.619	0.274	0	0	TCF7L1
0	0.430220677610316	1	0.993	0	0	RPL3
0	0.427213282394637	1	0.993	0	0	RPL29
0	0.411951123772901	1	0.992	0	0	RPL23A
0	0.406646977952898	1	0.991	0	0	RPS11
0	0.402770626743628	0.61	0.236	0	0	PWAR6
0	0.402378818393617	1	0.991	0	0	RPLP2
0	0.398611837028385	1	0.992	0	0	RPS9
0	0.392411304749395	1	0.99	0	0	RPL10A
0	0.387979142109747	0.997	0.974	0	0	PRELID1
0	0.387686073868952	1	0.995	0	0	RPL12
0	0.372855929828814	1	0.989	0	0	RPL27
0	0.366603290854238	1	0.992	0	0	RPL14
0	0.365250712011157	1	0.993	0	0	RPS25
0	0.362736399069504	1	0.987	0	0	RPS26
0	0.32914784216721	1	0.998	0	0	RPLP1
0	0.326934130152134	1	0.991	0	0	RPS4X
0	0.302660994671369	1	0.993	0	0	RPS27A
