sample	cell	cluster	PC1	PC2	PC3
WTC11C6_cell01	WTC11	6	-32.5509906050899	-4.330824343534237	5.736541767975089
WTC11C6_cell02	WTC11	0	-12.728835161317946	-35.44579959711215	6.166108482172189
WTC11C6_cell03	WTC11	4	-72.36109494505774	60.21774037668543	-7.625031721218032
WTC11C6_cell04	WTC11	0	-12.100794694321632	-19.907383763909273	5.033400640354837
WTC11C6_cell05	WTC11	0	-17.177201963787383	-24.91474723072559	5.371277992171307
WTC11C6_cell06	WTC11	6	-39.635738138003994	-13.568612657333027	-0.6004165071177237
WTC11C6_cell07	WTC11	0	-5.490744560911523	-18.823221210668738	5.35816530479922
WTC11C6_cell08	WTC11	2	-50.259085267916426	11.53979921471375	-6.455143017817662
WTC11C6_cell09	WTC11	6	-27.593843691593097	-12.159579257845033	10.215855674642366
WTC11C6_cell10	WTC11	0	-17.80636656464	-20.250149542903955	-9.672096535536728
WTC11C6_cell11	WTC11	6	-33.35053084682543	-2.6692436695137394	1.2573128873192874
WTC11C6_cell12	WTC11	2	-39.53923867450491	26.731248055546185	7.235566720830011
WTC11C6_cell13	WTC11	0	-21.59933408171912	-20.51714379364795	2.510224257923039
WTC11C6_cell14	WTC11	0	-20.576071941086273	-21.119415871751745	8.854444700474698
WTC11C6_cell15	WTC11	0	-17.93143447117059	-28.675906060925467	-5.518051641777181
WTC11C6_cell16	WTC11	0	-16.035252942679683	-24.338182035043122	-1.1908879973356774
WTC11C6_cell17	WTC11	4	-69.47366437015565	75.21411464260098	-9.860352996613985
WTC11C6_cell18	WTC11	0	-11.34439527889434	-24.670907829363017	8.920983058831716
WTC11C6_cell19	WTC11	0	-16.01863207305713	-19.511662205022567	5.937758462528888
WTC11C6_cell20	WTC11	0	-22.811255340163274	-19.133957433493908	5.480291579472416
WTC11C6_cell21	WTC11	0	-20.754021354890057	-25.033363161701246	2.17548975708566
WTC11C6_cell22	WTC11	0	-6.837189889389484	-26.625844494902026	5.586602522625071
WTC11C6_cell23	WTC11	0	-22.749912119813033	-22.360939103529425	0.9842957058928703
WTC11C6_cell24	WTC11	6	-33.2436990593553	-14.155060106384669	0.15911977957410273
WTC11C6_cell25	WTC11	4	-77.76875452657531	84.0853488024251	-11.66708045165089
WTC11C6_cell26	WTC11	0	-12.396022150701477	-10.708597358491286	4.7865034586274
WTC11C6_cell27	WTC11	0	-10.699467542563582	-14.85613607006772	5.1756048730897755
WTC11C6_cell28	WTC11	6	-34.74055736224831	-8.640995486166982	0.26903176784322497
WTC11C6_cell29	WTC11	0	-11.078659848061582	-28.25560691395428	1.4090793346113013
WTC11C6_cell30	WTC11	0	-30.575987828159228	-20.19213087774047	-2.050409368053797
WTC11C6_cell31	WTC11	6	-27.52440057461482	-22.802480670055978	9.524633105303762
WTC11C6_cell32	WTC11	6	-24.385360512933943	-9.050080954892133	0.6407252130211676
WTC11C6_cell33	WTC11	1	24.41238972051451	-10.421383972617438	10.533769655638196
WTC11C6_cell34	WTC11	6	-28.977809992995056	-9.261316201399655	6.857713654843755
WTC11C6_cell35	WTC11	0	-16.564656895832172	-17.229461925788762	7.258673004349235
WTC11C6_cell36	WTC11	0	-23.590334328177562	-15.842904520549988	3.7423714897918576
WTC11C6_cell37	WTC11	0	-16.357272183114198	-17.798197577606356	5.674245728781214
WTC11C6_cell38	WTC11	0	-17.52089056452732	-16.97764972094812	9.704493690817172
WTC11C6_cell39	WTC11	6	-26.730683944492434	4.594251432593827	5.023545391742836
WTC11C6_cell40	WTC11	0	-27.244733065408113	-30.472294747299077	3.2917133924406303
WTC11C6_cell41	WTC11	0	-21.970403871511174	-15.211733114994964	7.081169598080532
WTC11C6_cell42	WTC11	0	-18.501260837736655	-20.019070216202127	4.713365760720455
WTC11C6_cell43	WTC11	0	-19.20346660864296	-30.275762944282395	-5.69710707284473
WTC11C6_cell44	WTC11	6	-29.421070949701672	-8.720063018244298	3.1413925439027253
WTC11C6_cell45	WTC11	0	-10.605642954697814	-24.714788027839855	-1.260125308599404
WTC11C6_cell46	WTC11	6	-30.471242350371217	-14.643600677672039	0.5850775255620275
WTC11C6_cell47	WTC11	0	-13.9867746785481	-19.577984918563935	7.945768035315571
WTC11C6_cell48	WTC11	6	-35.67145995268283	4.016260239054984	-2.5384086800920995
WTC11C6_cell49	WTC11	6	-35.79421679103402	-9.710980162081343	2.1084638967318994
WTC11C6_cell50	WTC11	0	-16.510858768142743	-27.409444445209477	5.0393405456078035
WTC11C6_cell51	WTC11	2	-42.70679657115977	-3.897658144208701	-3.2234290623547084
WTC11C6_cell52	WTC11	2	-43.05990558757725	-1.7859952148659872	-1.1623875433894069
WTC11C6_cell53	WTC11	0	-19.11140007839296	-23.449421297464113	1.6940259048429038
WTC11C6_cell54	WTC11	0	-23.69665615280013	-27.095733029633887	4.6959001907042675
WTC11C6_cell55	WTC11	0	-23.29997379181077	-32.759412332745825	5.4965604519568645
WTC11C6_cell56	WTC11	0	-22.710174350761584	-23.52910773455091	9.302420930323377
WTC11C6_cell57	WTC11	6	-26.915985876758135	-12.0299175634081	3.243859434416331
WTC11C6_cell58	WTC11	0	-14.223017081077947	-14.686161088357219	5.081867507253398
WTC11C6_cell59	WTC11	6	-28.043125484952107	-5.867830848833951	5.832610157100576
WTC11C6_cell60	WTC11	6	-25.693461325666085	-5.586843989929421	4.73551349558109
WTC11C6_cell61	WTC11	0	-18.419552224756952	-29.23839911721149	3.034823679806902
WTC11C6_cell62	WTC11	0	-16.81017989442533	-22.925453047104718	9.039040007257334
WTC11C6_cell63	WTC11	0	-20.842134514883224	-20.18951159190418	11.477358003825493
WTC11C6_cell64	WTC11	0	-17.581238915039542	-14.936038005280738	-9.173352827254858
WTC11C6_cell65	WTC11	2	-43.62615861987679	11.0307370601036	-0.12376697949032345
WTC11C6_cell66	WTC11	0	-21.582212327277126	-15.322378887252533	2.044667591679279
WTC11C6_cell67	WTC11	0	-17.119260476897825	-17.33717091253497	7.089486971866929
WTC11C6_cell68	WTC11	6	-42.33191140231677	-17.580320423238053	2.9096190127785952
WTC11C6_cell69	WTC11	0	-18.510341905287618	-16.00039066056838	-11.955066061027205
WTC11C6_cell70	WTC11	0	-23.786489542591593	-20.56170106162897	1.867545936186481
WTC11C6_cell71	WTC11	0	-16.747338986834137	-17.417981661904378	5.981693611632307
WTC11C6_cell72	WTC11	0	-24.94583163225596	-15.810762185966077	2.5936956278518655
WTC11C6_cell73	WTC11	0	-29.254258835826278	-10.86712566752698	-3.6509256536991184
WTC11C6_cell74	WTC11	0	-20.802492552820055	-15.12816331993723	2.1256874178546594
WTC11C6_cell75	WTC11	0	-19.426826593719294	-13.743532554600662	0.272465446373647
