p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.1143460926637e-27	0.647269833996432	0.893	0.25	2.46103334564777e-23	0	DLX1
1.53965928913049e-26	1.05783223824639	0.81	0.21	3.40033754004469e-22	0	ZCCHC12
2.20308934232493e-26	0.524189045166565	0.81	0.19	4.86552281252461e-22	0	SNRPN
3.29212988481906e-26	1.92278075276314	0.988	0.512	7.2706688506229e-22	0	GAD1
9.85881704016175e-26	0.971003618888087	0.845	0.23	2.17731974331972e-21	0	D4S234E
1.04640113274945e-25	0.651881649612821	0.738	0.153	2.31097690167717e-21	0	VSTM2A
1.75482905893481e-25	1.73728615505956	0.976	0.5	3.87553997665753e-21	0	GABRB2
2.8671721641158e-25	1.37850595454745	1	0.524	6.33214972444974e-21	0	ARL4C
3.05370087480368e-25	1.69680469003368	0.952	0.411	6.74409838200392e-21	0	NRIP3
4.57110819916033e-25	1.14087365015932	0.929	0.302	1.00952924578456e-20	0	IGF1
6.07627589033174e-25	1.37578287492363	0.964	0.395	1.34194553037977e-20	0	RCAN2
1.14184081183185e-24	1.11861591936922	0.893	0.335	2.52175543293063e-20	0	ZNF385D
1.40403232931832e-24	1.78115330097689	1	0.629	3.1008053992995e-20	0	FGF12
1.92253362190905e-24	1.03009904822157	0.929	0.323	4.24591550398613e-20	0	DCX
2.55186449935843e-24	1.93130482287869	0.964	0.573	5.63579274683309e-20	0	CNTNAP2
6.81386528838369e-24	0.678303798647622	0.893	0.266	1.50484214893954e-19	0	SULT4A1
1.21086593694002e-23	1.18787640713011	0.964	0.431	2.67419742173203e-19	0	THY1
1.2656415385553e-23	1.45616582869574	1	0.552	2.79516933789939e-19	0	NSF
2.08427254982805e-23	1.82035134990801	0.952	0.54	4.60311592629524e-19	0	GABRA1
2.92418316252596e-23	0.86588137019584	0.893	0.298	6.45805851443859e-19	0	DLX6-AS1
4.31795458846341e-23	1.36079074470097	0.976	0.597	9.53620270862143e-19	0	GOT1
6.34119790175713e-23	1.55283944401426	1	0.702	1.40045355660306e-18	0	SNAP25
1.11993998473558e-22	1.75530973129707	0.94	0.407	2.47338745628854e-18	0	SYNPR
1.31372126535173e-22	1.19587434066845	0.893	0.315	2.90135341452929e-18	0	INA
1.71056524210785e-22	1.06928174936927	0.905	0.343	3.77778333719519e-18	0	ROBO2
2.65963529904943e-22	1.57418089102123	0.988	0.681	5.87380455795066e-18	0	SCG2
2.83411050090723e-22	1.52790814014133	1	0.935	6.25913304125362e-18	0	MAP1B
4.57457804224247e-22	0.260660180650876	0.655	0.133	1.01029556062925e-17	0	SLC32A1
5.7239040736988e-22	1.31759547611698	1	0.657	1.26412421467638e-17	0	RTN1
6.45153915869253e-22	0.845830910515792	0.798	0.25	1.42482242319725e-17	0	SPINT2
8.42589449320372e-22	0.620309429477841	0.964	0.427	1.86085879882404e-17	0	NCDN
8.84386438245045e-22	1.17599232457312	1	0.512	1.95316744886418e-17	0	GABRG2
9.10871593587335e-22	0.386813721690208	0.845	0.294	2.01165991443763e-17	0	RAB3A
